category,metric,label,direction,n,p05,p25,p50,p75,p95,best_break_depth,reason
D,isoform_massspec_summary.total_peptides,isoform_massspec_summary.total_peptides high,>=,6462,0.0,1.0,2.0,4.0,9.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.unique_peptides,isoform_massspec_summary.unique_peptides high,>=,6462,0.0,1.0,2.0,4.0,9.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.validated_peptides,isoform_massspec_summary.validated_peptides low,<,6087,0.0,0.0,0.0,0.0,2.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,ribo_pvalue,ribo_pvalue high,>=,6462,7.83171407215386e-38,3.0811320955912273e-14,1.5240425996900824e-07,0.00010802558044439999,0.0035125240547380296,0.727,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_cell_membrane_delta,cmp_localization_deeploc_prob_cell_membrane_delta changes appreciably,>=,6462,0.0010000020265579085,0.006699995137751075,0.021600000560283696,0.06339999940246342,0.20758999809622763,0.75,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_cytoplasm_delta,cmp_localization_deeploc_prob_cytoplasm_delta changes appreciably,>=,6462,0.0015000104904174805,0.00920000672340393,0.027699999511241885,0.08560001105070116,0.3256900273263454,0.6,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_endoplasmic_reticulum_delta,cmp_localization_deeploc_prob_endoplasmic_reticulum_delta changes appreciably,>=,6462,0.0010999999940395008,0.007100004702806494,0.023200005292892442,0.06500000320374964,0.25129000693559644,1.0,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_extracellular_delta,cmp_localization_deeploc_prob_extracellular_delta changes appreciably,>=,6462,0.0005999989807606021,0.004200000315904599,0.015100002288818345,0.05277499556541441,0.2632399861700831,0.714,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_golgi_apparatus_delta,cmp_localization_deeploc_prob_golgi_apparatus_delta changes appreciably,>=,6462,0.0009999992791563253,0.007500007748603793,0.025899995118379596,0.07719999551773071,0.24799499660730365,0.818,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_lysosome_vacuole_delta,cmp_localization_deeploc_prob_lysosome_vacuole_delta changes appreciably,>=,6462,0.000899998471140804,0.006900012493133517,0.023600001819431796,0.07360000768676396,0.24420000538229944,0.6,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_mitochondrion_delta,cmp_localization_deeploc_prob_mitochondrion_delta changes appreciably,>=,6462,0.0010999999940395008,0.007324997335672351,0.025200009346008356,0.08499999903142448,0.3638949900865555,0.714,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_nucleus_delta,cmp_localization_deeploc_prob_nucleus_delta changes appreciably,>=,6462,0.0013999938964843223,0.008499979972839355,0.026899993419647217,0.08400001376867297,0.3194950267672539,0.769,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_prob_peroxisome_delta,cmp_localization_deeploc_prob_peroxisome_delta changes appreciably,>=,6462,9.999997564589998e-05,0.0009999999310822,0.0050999997183681,0.025874999351799474,0.14479499273002153,1.0,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_localization_deeploc_top_prob_delta,cmp_localization_deeploc_top_prob_delta changes appreciably,>=,6462,0.0015000104904174805,0.009024992585182273,0.02830001711845398,0.0825749933719635,0.2759000062942505,0.68,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_signalp_signalp_probability_delta,cmp_signalp_signalp_probability_delta changes appreciably,>=,6462,0.0,0.0,0.0,2.1000000000048757e-05,0.575893,1.0,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_targetp_targetp_mtp_prob_delta,cmp_targetp_targetp_mtp_prob_delta changes appreciably,>=,6462,3e-06,8.3e-05,0.001126,0.01869125,0.4322551999999999,0.846,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_targetp_targetp_probability_delta,cmp_targetp_targetp_probability_delta changes appreciably,>=,6462,9.000000000036756e-06,0.00025325000000003817,0.004054499999999961,0.06877774999999994,0.3861938499999999,0.464,"no in-band cutoff — continuous, range-filter it instead"
L,abs:cmp_targetp_targetp_sp_prob_delta,cmp_targetp_targetp_sp_prob_delta changes appreciably,>=,6462,1.9999999999999995e-06,4.9e-05,0.0005399999999999999,0.019935750000000002,0.8218777499999996,0.943,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_cell_membrane,isoform_localization_deeploc_prob_cell_membrane high,>=,6462,0.0333999991416931,0.0842000022530555,0.1542000025510788,0.28022499382495875,0.6470549732446669,0.619,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_endoplasmic_reticulum,isoform_localization_deeploc_prob_endoplasmic_reticulum high,>=,6462,0.036309999786317285,0.09222500212490553,0.17025000602006907,0.2970750033855438,0.7018950045108795,0.655,"no in-band cutoff — continuous, range-filter it instead"
L,isoform_localization_deeploc_prob_extracellular,isoform_localization_deeploc_prob_extracellular high,>=,6462,0.0097000002861022,0.0293000005185604,0.0617000013589859,0.1388999968767166,0.43099499493837357,0.667,"no in-band cutoff — continuous, range-filter it instead"
