feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
isoform_biophysics_length,biophysics,isoform,S,module_map,,False,int,1.0,1314,True,,numeric,log1p,,,,,1.0
isoform_biophysics_llps_score,biophysics,isoform,S,module_map,,False,float,1.0,1535,True,,numeric,linear,,,,,1.0
isoform_biophysics_longest_homopolymer,biophysics,isoform,S,module_map,,False,int,1.0,21,True,,numeric,linear,,,,,1.0
isoform_biophysics_mean_window_entropy,biophysics,isoform,S,module_map,,False,float,1.0,3522,True,,numeric,linear,,,,,1.0
isoform_biophysics_normalized_complexity,biophysics,isoform,S,module_map,,False,float,1.0,1424,True,,numeric,linear,,,,,1.0
isoform_biophysics_pI,biophysics,isoform,S,module_map,,False,float,1.0,1190,True,,numeric,linear,,,,,1.0
isoform_biophysics_pipi_propensity,biophysics,isoform,S,module_map,,False,float,1.0,1696,True,,numeric,linear,,,,,1.0
isoform_biophysics_prionlike_fraction,biophysics,isoform,S,module_map,,False,float,1.0,1665,True,,numeric,linear,,,,,1.0
isoform_biophysics_rg_fg_density,biophysics,isoform,S,module_map,,False,float,1.0,2062,True,,numeric,linear,,,,,1.0
isoform_biophysics_shannon_entropy,biophysics,isoform,S,module_map,,False,float,1.0,3319,True,,numeric,linear,,,,,1.0
canonical_interproscan_hits,interproscan,canonical,S,module_map,,False,list,1.0,137,False,list,count,-,,,,,
canonical_interproscan_summary.n_databases,interproscan,canonical,S,module_map,,False,int,1.0,16,True,,numeric,log1p,,,,,1.0
canonical_interproscan_summary.n_hits,interproscan,canonical,S,module_map,,False,int,1.0,137,True,,numeric,log1p,,,,,1.0
canonical_interproscan_summary.n_interpro,interproscan,canonical,S,module_map,,False,int,1.0,25,True,,numeric,log1p,,,,,1.0
canonical_interproscan_summary.status,interproscan,canonical,S,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
n_canonical_interproscan_hits,interproscan,canonical,S,module_map,,False,int,1.0,137,False,redundant,numeric,log1p,,canonical_interproscan_hits,canonical_interproscan_summary.n_hits,,1.0
cmp_interproscan_hits_canonical_status,interproscan,cmp,S,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
cmp_interproscan_hits_in_diff_region,interproscan,cmp,S,module_map,,False,list,1.0,109,False,list,count,-,,,,,
cmp_interproscan_hits_isoform_status,interproscan,cmp,S,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
cmp_interproscan_hits_source_pane,interproscan,cmp,S,module_map,,False,str,1.0,2,False,categorical,one_hot,-,,,,,
cmp_interproscan_n_hits_in_diff_region,interproscan,cmp,S,evidence_cols,S1_domain_change,False,int,1.0,109,True,,numeric,linear,Domains in diff region,,,,1.0
cmp_interproscan_n_real_domains_changed_in_diff_region,interproscan,cmp,S,evidence_cols,S1_domain_change,True,int,1.0,44,True,,numeric,linear,,,,,1.0
n_cmp_interproscan_hits_in_diff_region,interproscan,cmp,S,module_map,,False,int,1.0,109,False,redundant,numeric,log1p,,cmp_interproscan_hits_in_diff_region,cmp_interproscan_n_hits_in_diff_region,,1.0
isoform_interproscan_hits,interproscan,isoform,S,module_map,,False,list,1.0,127,False,list,count,-,,,,,
isoform_interproscan_summary.n_databases,interproscan,isoform,S,evidence_cols,S1_domain_change,False,int,1.0,16,True,,numeric,log1p,,,,,1.0
isoform_interproscan_summary.n_hits,interproscan,isoform,S,evidence_cols,S1_domain_change,False,int,1.0,127,True,,numeric,log1p,,,,,1.0
isoform_interproscan_summary.n_interpro,interproscan,isoform,S,evidence_cols,S1_domain_change,False,int,1.0,22,True,,numeric,log1p,,,,,1.0
isoform_interproscan_summary.status,interproscan,isoform,S,evidence_cols,S1_domain_change,False,str,1.0,1,False,status_string,-,-,,,,,
n_isoform_interproscan_hits,interproscan,isoform,S,module_map,,False,int,1.0,127,False,redundant,numeric,log1p,,isoform_interproscan_hits,isoform_interproscan_summary.n_hits,,1.0
canonical_motifs_hits,motifs,canonical,S,module_map,,False,list,1.0,96,False,list,count,-,,,,,
canonical_motifs_summary.APIM,motifs,canonical,S,module_map,,False,int,1.0,4,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.APIM_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,89,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.ATM_Sites_SQ_TQ,motifs,canonical,S,module_map,,False,int,1.0,44,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.ATM_Sites_SQ_TQ_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,1756,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.CDK_Sites_SP_TP,motifs,canonical,S,module_map,,False,int,1.0,60,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.CDK_Sites_SP_TP_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,1908,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.EB1_SxIP,motifs,canonical,S,module_map,,False,int,1.0,14,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.EB1_SxIP_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,1000,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.Heme_CP_HRM,motifs,canonical,S,module_map,,False,int,1.0,3,True,,numeric,linear,,,,,1.0
canonical_motifs_summary.Heme_CP_HRM_density_per100aa,motifs,canonical,S,module_map,,False,float,1.0,24,True,,numeric,log1p,,,,,1.0
canonical_motifs_summary.Heme_CXXCH,motifs,canonical,S,module_map,,False,int,1.0,4,True,,numeric,linear,,,,,1.0
